#SIMULACION DE DATOS
#Numero de anos actual
50
#Numero de edades
5
#Numero de tallas
26
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
 4.8 9.7 23.7 26.2 31.5
